2016,Small Pickup Trucks 2WD,14
2016,Small Pickup Trucks 4WD,12
2016,Standard Pickup Trucks 2WD,20
2016,Standard Pickup Trucks 4WD,18
2016,Special Purpose Vehicle 2WD,21
2016,Special Purpose Vehicle 4WD,3
2016,Small Sport Utility Vehicle 2WD,77
2016,Small Sport Utility Vehicle 4WD,104
2016,Standard Sport Utility Vehicle 2WD,32
2016,Standard Sport Utility Vehicle 4WD,86
2017,Large Cars,8
2017,Two Seaters,15
2017,Compact Cars,20
2017,Midsize Cars,18
2017,Minivan - 2WD,4
2017,Subcompact Cars,14
2017,Minicompact Cars,20
2017,Small Pickup Trucks 2WD,1
2017,Standard Pickup Trucks 4WD,1
2017,Small Sport Utility Vehicle 2WD,19
2017,Small Sport Utility Vehicle 4WD,28
2017,Standard Sport Utility Vehicle 2WD,2
2017,Standard Sport Utility Vehicle 4WD,8
21.2,15.2721,2
21.3,15.341,2
21.5,0.0,1
21.5,15.4774,2
21.7,15.7651,1
21.9,15.9072,2
22.3,16.0359,2
22.3,16.0438,2
22.5,16.207,6
23.0,16.6879,3
23.3,16.7649,3
23.4,16.8069,1
23.4,16.8219,4
23.4,16.9713,3
23.8,17.0993,2
23.8,17.2545,6
23.9,17.1695,2
24.0,17.2533,1
24.1,17.3097,1
24.1,17.3251,6
24.4,17.6789,1
24.5,17.5866,2
24.6,17.6548,2
24.8,17.9616,1
25.0,17.8925,1
25.1,17.9769,1
25.1,17.9888,1
25.6,0.0,1
25.6,18.3117,2
26.2,18.9491,2
26.4,0.0,1
26.5,18.9417,1
26.7,19.3011,3
27.1,19.3602,4
27.3,19.5405,1
27.4,19.5466,2
27.8,19.8339,1
28.7,20.454,1
28.7,20.472,6
28.8,20.5603,2
28.9,20.643,1
28.9,20.8459,1
29.0,20.7165,2
29.0,20.9159,1
29.3,21.126,1
29.4,0.0,1
29.7,21.4059,1
30.0,21.384,2
30.1,21.6856,1
30.6,21.8123,1
30.8,21.9111,4
30.8,22.1745,1
31.0,22.0197,2
31.2,0.0,1
31.2,22.1813,2
31.3,22.296,9
32.1,22.801,2
32.6,23.102,2
32.7,0.0,1
32.7,23.1729,2
32.8,23.2426,1
33.1,0,1
33.5,23.7444,2
33.6,23.8548,2
37.2,26.2695,2
37.2,26.2696,1
38.0,26.8058,1
38.3,27.007,1
39.1,27.5551,1
39.5,27.7026,3
39.6,27.8777,1
40.0,20,1
40.5,22,1
41.8,29.3213,2
66.2,46.4,2
81.6,55.359,1
94.0,65.9,1
94.5,66.1,1
123.0,86.1,1
139.8,97.9,1
141.1,99.0,2
89.65,62.8,2
123.63,86.5,1
17.721,12.9258,2
22.814,16.3924,1
22.971,16.5023,1
23.735,17.0704,1
26.434,18.8991,1
26.508,19.166,1
26.508,19.1604,1
21.1544,15.2675,1
21.2981,15.3362,1
21.3321,15.3598,1
21.4116,15.4151,1
21.4237,15.4238,1
21.4296,15.4279,1
21.4551,15.4458,1
22.5913,16.2708,1
22.6818,16.3342,1
22.7596,16.355,1
22.7773,16.3673,1
22.8005,16.4185,1
22.8009,16.4187,1
22.8157,16.3936,1
22.8192,16.4317,1
22.8203,16.4324,1
22.8499,16.4468,1
22.9915,16.5167,1
23.1983,16.6902,2
23.4204,16.8495,1
23.4238,16.852,1
23.4489,16.9713,1
23.4489,17.0059,1
23.6706,17.0255,1
23.6729,17.0271,1
23.7356,17.0708,1
24.7997,17.7451,2
24.8419,17.8403,2
26.0422,18.6512,1
26.1905,18.7537,1
28.1348,20.2849,1
28.1348,20.3093,1
28.4478,20.2922,8
28.7294,20.5013,3
28.7449,20.7057,1
28.7473,20.4969,3
29.5298,0.0,1
29.5929,21.331,1
29.5929,21.336,1
29.6543,21.4059,1
29.7974,21.2632,3
30.4773,0,1
30.5294,21.9856,1
30.6499,21.7572,13
31.4301,0,1
31.4357,22.5931,1
35.5453,0,1
37.5301,19,1
39.0649,27.5316,1
39.2034,27.5946,1
39.2672,27.6373,1
39.3518,27.7108,1
40.1833,28.2822,1
40.1866,28.2844,1
81.8574,57.3002,1
103.4655,72.4259,3
112.0736,78.4515,1
